WB-1044190	WB-1044191	WB-1044192
ENSG00000156269	0	0	0
ENSG00000156273	10	10	10
ENSG00000156282	0	0	0
ENSG00000156284	0	0	0
ENSG00000156298	43	43	43
ENSG00000156299	15	15	15
ENSG00000156304	8	8	8
ENSG00000156313	1	1	1
ENSG00000156345	8	8	7.999
ENSG00000156374	0	0	0
ENSG00000156381	1.999	1.999	1.999
ENSG00000156384	0	0	0
ENSG00000156395	2	2	2
ENSG00000156398	2.021	2.021	2.021
ENSG00000156411	16	16	16
ENSG00000156413	0	0	0
ENSG00000156414	0	0	0
ENSG00000156427	0	0	0
ENSG00000156453	24	24	24
ENSG00000156463	0	0	0
ENSG00000156466	0	0	0
ENSG00000156467	24	23.999	23.999
ENSG00000156469	6	6	6
ENSG00000156471	16	16	16
ENSG00000156475	71	71	71.001
ENSG00000156482	56.999	56.999	56.999
ENSG00000156486	0	0	0
ENSG00000156500	1	1	1
ENSG00000156502	7.021	7.021	7.021
ENSG00000156504	9	9	9
ENSG00000156508	1245.982	1245.983	1245.982
ENSG00000156509	0	0	0
ENSG00000156510	0	0	0
ENSG00000156515	37	37	37
ENSG00000156521	2	2	2
ENSG00000156531	33	33	33
ENSG00000156535	0	0	0
ENSG00000156564	0	0	0
ENSG00000156574	0	0	0
ENSG00000156575	0	0	0
ENSG00000156587	21	21	21
ENSG00000156599	10	10	10
ENSG00000156603	6	6	6
ENSG00000156639	16	16	16
ENSG00000156642	19.001	19	19
ENSG00000156650	22	22	22
ENSG00000156671	13	13	13
ENSG00000156675	11.005	11.005	11.005
ENSG00000156687	12	12	12
ENSG00000156689	0	0	0
ENSG00000156697	5	5	5
ENSG00000156709	13	13	13
ENSG00000156711	3	3	3
ENSG00000156735	4	4	4
ENSG00000156738	0	0	0
ENSG00000156755	0	0	0
ENSG00000156787	0	0	0
ENSG00000156795	2	2	2
ENSG00000156802	0	0	0
ENSG00000156804	0	0	0
ENSG00000156831	6	6	6
ENSG00000156853	12	12	12
ENSG00000156858	10	10	10
ENSG00000156860	27	27	27
ENSG00000156869	0	0	0
ENSG00000156873	6	6	6
ENSG00000156875	12	12	12
ENSG00000156876	0	0	0
ENSG00000156885	0	0	0
ENSG00000156886	0	0	0
ENSG00000156920	0	0	0
ENSG00000156925	47	47	47
ENSG00000156928	2	2	2
ENSG00000156931	20	20	20
ENSG00000156958	3	3	3
ENSG00000156959	19	19	19
ENSG00000156966	0	0	0
ENSG00000156968	0	0	0
ENSG00000156970	1	1	1
ENSG00000156973	5	5	5
ENSG00000156976	103	103.001	103.001
ENSG00000156983	5	5	5
ENSG00000156990	2	2	2
ENSG00000157005	4	4	4
ENSG00000157014	26	26	26
ENSG00000157017	0	0	0
ENSG00000157020	15	15	15
ENSG00000157021	0	0	0
ENSG00000157036	1	1	1
ENSG00000157045	0	0	0
ENSG00000157060	0	0	0
ENSG00000157064	132	132	132
ENSG00000157077	14	14	14
ENSG00000157087	9	9	9
ENSG00000157093	0	0	0
ENSG00000157103	13	13	13
ENSG00000157106	38.089	38.089	38.089
ENSG00000157107	2	2	2
ENSG00000157110	0	0	0
ENSG00000157111	0	0	0
ENSG00000157119	0	0	0
ENSG00000157131	0	0	0
ENSG00000157150	0	0	0
ENSG00000157152	9	9	9
ENSG00000157168	5	5	5
ENSG00000157181	4	4	4
ENSG00000157184	6.064	6.064	6.064
ENSG00000157191	1	1	1
ENSG00000157193	24.767	24.765	24.767
ENSG00000157211	0	0	0
ENSG00000157212	2	2	2
ENSG00000157214	0	0	0
ENSG00000157216	54	54	54
ENSG00000157219	0	0	0
ENSG00000157224	5	5	5
ENSG00000157227	0	0	0
ENSG00000157240	6	6	6
ENSG00000157259	6.005	6.005	6.005
ENSG00000157303	0	0	0
ENSG00000157315	0	0	0
ENSG00000157322	0	0	0
ENSG00000157326	0	0	0
ENSG00000157330	0	0	0
ENSG00000157335	3	3	3
ENSG00000157343	1	1	1
ENSG00000157349	16.891	16.891	16.891
ENSG00000157350	13	13	13
ENSG00000157353	4	4	4
ENSG00000157368	0	0	0
ENSG00000157379	3	3	3
ENSG00000157388	5.913	5.913	5.913
ENSG00000157399	0	0	0
ENSG00000157404	3	3	3
ENSG00000157423	1	1	1
ENSG00000157426	2	2	2
ENSG00000157429	2.764	2.764	2.764
ENSG00000157445	2	2	2
ENSG00000157450	14	14	14
ENSG00000157456	0	0	0
ENSG00000157470	2	2	2
ENSG00000157483	0	0	0
ENSG00000157500	7	7	7
ENSG00000157502	2	2	2
ENSG00000157510	0	0	0
ENSG00000157514	15	15	15
ENSG00000157538	4	4	4
ENSG00000157540	26	26	26
ENSG00000157542	11	11	11
ENSG00000157551	0	0	0
ENSG00000157554	0	0	0
ENSG00000157557	2	2	2
ENSG00000157570	24	24	24
ENSG00000157578	0	0	0
ENSG00000157593	10	10	10
ENSG00000157600	20	20	20
ENSG00000157601	0	0	0
ENSG00000157613	1	1	1
ENSG00000157617	0	0	0
ENSG00000157625	12	12	12
ENSG00000157637	9	9	9
ENSG00000157653	0	0	0
ENSG00000157654	0	0	0
ENSG00000157657	45	45	45
ENSG00000157680	23	23	23
ENSG00000157693	5.585	5.585	5.585
ENSG00000157703	1	1	1
ENSG00000157734	1	1	1
ENSG00000157741	18	18	18
ENSG00000157764	21	21	21
ENSG00000157765	0	0	0
ENSG00000157766	0	0	0
ENSG00000157778	7	7	7
ENSG00000157782	1	1	1
ENSG00000157796	8	8	8
ENSG00000157800	13	13	13
ENSG00000157823	16.195	16.195	16.195
ENSG00000157827	20	20	20
ENSG00000157833	4	4	4
ENSG00000157837	22	22	22
ENSG00000157851	247.999	248.001	247.999
ENSG00000157856	1	1	1
ENSG00000157869	3	3	3
ENSG00000157873	0	0	0
ENSG00000157881	6	6	6
ENSG00000157884	0	0	0
ENSG00000157890	0	0	0
ENSG00000157895	4	4	4
ENSG00000157911	6	6	6
ENSG00000157916	27	27	27
ENSG00000157927	7	7	7
ENSG00000157933	25	25	25
ENSG00000157954	14.001	14	14
ENSG00000157965	0	0	0
ENSG00000157978	0	0	0
ENSG00000157985	63	63	63
ENSG00000157992	1	1	1
ENSG00000157999	0	0	0
ENSG00000158006	1	1	1
ENSG00000158008	0	0	0
ENSG00000158014	0	0	0
ENSG00000158019	5	5	5
ENSG00000158022	0	0	0
ENSG00000158023	3	3	3
ENSG00000158042	8	8	8
ENSG00000158050	2	2	2
ENSG00000158055	0	0	0
ENSG00000158062	6	6	6
ENSG00000158077	1	1	1
ENSG00000158079	3	3	3
ENSG00000158089	23	23	23
ENSG00000158092	3	3	3
ENSG00000158104	0	0	0
ENSG00000158106	9	9	9
ENSG00000158109	10	10	10
ENSG00000158113	0	0	0
ENSG00000158122	0	0	0
ENSG00000158125	2	2	2
ENSG00000158156	0	0	0
ENSG00000158158	14	14	14
ENSG00000158161	9	9	9
ENSG00000158163	0	0	0
ENSG00000158164	16	16	16
ENSG00000158169	5	5	5
ENSG00000158186	43	43	43
ENSG00000158195	7	7	7
ENSG00000158201	0	0	0
ENSG00000158220	0	0	0
ENSG00000158234	0	0	0
ENSG00000158246	0	0	0
ENSG00000158258	39	39	39
ENSG00000158270	2	2	2
ENSG00000158286	2	2	2
ENSG00000158290	36	36	36
ENSG00000158292	36	36	36
ENSG00000158296	1	1	1
ENSG00000158301	16	16	16
ENSG00000158315	0	0	0
ENSG00000158321	117	117.001	117
ENSG00000158352	3	3	3
ENSG00000158373	3	3	3
ENSG00000158402	0	0	0
ENSG00000158406	0	0	0
ENSG00000158411	5.003	5.003	5.003
ENSG00000158417	20	20	20
ENSG00000158423	0	0	0
ENSG00000158427	1	1	1
ENSG00000158428	0	0	0
ENSG00000158435	7	7	7
ENSG00000158445	14	14	14
ENSG00000158457	2	2	2
ENSG00000158458	2	2	2
ENSG00000158467	13	13	13
ENSG00000158470	24	24	24
ENSG00000158473	0	0	0
ENSG00000158477	0	0	0
ENSG00000158480	3	3	3
ENSG00000158481	0	0	0
ENSG00000158482	0	0	0
ENSG00000158483	3	3	3
ENSG00000158485	0	0	0
ENSG00000158486	0	0	0
ENSG00000158488	0	0	0
ENSG00000158497	0	0	0
ENSG00000158516	0	0	0
ENSG00000158517	0	0	0
ENSG00000158525	0	0	0
ENSG00000158526	2	2	2
ENSG00000158528	18	18	18
ENSG00000158545	19	19	19
ENSG00000158552	4	4	4
ENSG00000158553	0	0	0
ENSG00000158555	14	14	14
ENSG00000158560	9	9	9
ENSG00000158571	0	0	0
ENSG00000158578	0	0	0
ENSG00000158604	17	17	17
ENSG00000158615	24	24	24
ENSG00000158623	15	15	15
ENSG00000158636	11	11	11
ENSG00000158639	0	0	0
ENSG00000158669	27	26.999	26.999
ENSG00000158683	0	0	0
ENSG00000158691	4	4	4
ENSG00000158710	1	1	1
ENSG00000158711	5.001	5.001	5.001
ENSG00000158714	0	0	0
ENSG00000158715	0	0	0
ENSG00000158716	2	2	2
ENSG00000158717	5	5	5
ENSG00000158731	0	0	0
ENSG00000158747	0	0	0
ENSG00000158748	0	0	0
ENSG00000158764	0	0	0
ENSG00000158769	1	1	1
ENSG00000158773	33	33	33
ENSG00000158786	0	0	0
ENSG00000158792	7	7	7
ENSG00000158793	10	10	10
ENSG00000158796	13	13	13
ENSG00000158805	12	12	12
ENSG00000158806	1	1	1
ENSG00000158813	2	2	2
ENSG00000158815	0	0	0
ENSG00000158816	0	0	0
ENSG00000158825	0	0	0
ENSG00000158828	20	20	20
ENSG00000158850	9.999	10	10
ENSG00000158856	14	14	14
ENSG00000158859	0	0	0
ENSG00000158863	16	16	16
ENSG00000158864	34	34	34
ENSG00000158865	0	0	0
ENSG00000158869	0	0	0
ENSG00000158874	0	0	0
ENSG00000158882	14	14	14
ENSG00000158887	0	0	0
ENSG00000158901	0	0	0
ENSG00000158941	34	33.999	34
ENSG00000158955	0	0	0
ENSG00000158966	10	10	10
ENSG00000158985	4	4	4
ENSG00000158987	19	19	19
ENSG00000159023	32	32	32
ENSG00000159055	2	2	2
ENSG00000159063	1	1	1
ENSG00000159069	24	24	24
ENSG00000159079	5.365	5.364	5.364
ENSG00000159082	20	20	20
ENSG00000159086	23.999	24	24
ENSG00000159110	2	2	2
ENSG00000159111	6	6	6
ENSG00000159128	6	6	6
ENSG00000159131	18	18	18
ENSG00000159140	84	84	84
ENSG00000159147	3	3	3
ENSG00000159164	144	144	144
ENSG00000159166	0	0	0
ENSG00000159167	2	2	2
ENSG00000159173	0	0	0
ENSG00000159176	0	0	0
ENSG00000159182	0	0	0
ENSG00000159184	0	0	0
ENSG00000159186	0	0	0
ENSG00000159189	0	0	0
ENSG00000159197	0	0	0
ENSG00000159199	11	11	11
ENSG00000159200	12	12	12
ENSG00000159202	22	22	22
ENSG00000159208	1	1	1
ENSG00000159210	9	8.999	9
ENSG00000159212	0	0	0
ENSG00000159214	0	0	0
ENSG00000159216	0	0	0
ENSG00000159217	37	37	37
ENSG00000159224	0	0	0
ENSG00000159228	3	3	3
ENSG00000159231	0	0	0
ENSG00000159239	3	3	3
ENSG00000159247	0	0	0
ENSG00000159248	3	3	3
ENSG00000159251	0	0	0
ENSG00000159256	6	6	6
ENSG00000159259	2.832	2.832	2.832
ENSG00000159261	0	0	0
ENSG00000159263	1	1	1
ENSG00000159267	10	10	10
ENSG00000159289	0	0	0
ENSG00000159307	24.007	24.007	24.007
ENSG00000159314	0.5	0.5	0.5
ENSG00000159322	7	7	7
ENSG00000159335	157	157	157
ENSG00000159337	0	0	0
ENSG00000159346	18	18	18
ENSG00000159348	6	6	6
ENSG00000159352	31	31	31
ENSG00000159363	44	44	44
ENSG00000159374	0	0	0
ENSG00000159377	44	44	44
ENSG00000159387	0	0	0
ENSG00000159388	6	6	6
ENSG00000159398	0	0	0
ENSG00000159399	1	1	1
ENSG00000159403	0	0	0
ENSG00000159409	172	171.999	172.001
ENSG00000159423	2	2	2
ENSG00000159433	3	3	3
ENSG00000159445	1	1	1
ENSG00000159450	1	1	1
ENSG00000159455	0	0	0
ENSG00000159459	22	22	22
ENSG00000159461	17	17	17
ENSG00000159479	7	7	7
ENSG00000159495	0	0	0
ENSG00000159496	0	0	0
ENSG00000159516	0	0	0
ENSG00000159527	0	0	0
ENSG00000159556	0	0	0
ENSG00000159579	17	17	17
ENSG00000159588	0	0	0
ENSG00000159592	5	5	5
ENSG00000159593	9	9	9
ENSG00000159596	1	1	1
ENSG00000159618	0	0	0
ENSG00000159625	0	0	0
ENSG00000159640	0	0	0
ENSG00000159648	0	0	0
ENSG00000159650	0	0	0
ENSG00000159658	2	2	2
ENSG00000159674	0	0	0
ENSG00000159685	6	6	6
ENSG00000159692	31	31	31
ENSG00000159708	0	0	0
ENSG00000159712	0	0	0
ENSG00000159713	0	0	0
ENSG00000159714	1	1	1
ENSG00000159720	39	39	39
ENSG00000159723	0	0	0
ENSG00000159733	2	2	2
ENSG00000159753	2	2	2
ENSG00000159761	0	0	0
ENSG00000159763	0	0	0
ENSG00000159784	41	41	41
ENSG00000159788	14	14	14
ENSG00000159792	4	4	4
ENSG00000159840	26	26	26
ENSG00000159842	0	0	0
ENSG00000159860	0	0	0
ENSG00000159871	0	0	0
ENSG00000159873	13	13	13
ENSG00000159882	0	0	0
ENSG00000159884	3	3	3
ENSG00000159885	3	3	3
ENSG00000159899	1	1	1
ENSG00000159904	1	1	1
ENSG00000159905	1	1	1
ENSG00000159915	1	1	1
ENSG00000159917	1	1	1
ENSG00000159921	18.934	18.935	18.935
ENSG00000159958	1	1	1
ENSG00000159961	0	0	0
ENSG00000160007	74	74	74
ENSG00000160013	0	0	0
ENSG00000160014	161.999	162	162.001
ENSG00000160049	13	13.001	13.001
ENSG00000160050	8	8	8
ENSG00000160051	0	0	0
ENSG00000160055	3	3	3
ENSG00000160058	38.999	39	39
ENSG00000160062	8	8	8
ENSG00000160072	6.398	6.398	6.398
ENSG00000160075	16	16	16
ENSG00000160087	7	7	7
ENSG00000160094	11	11	11
ENSG00000160097	6	6	6
ENSG00000160111	1	1	1
ENSG00000160113	9	9	9
ENSG00000160117	1	1	1
ENSG00000160124	6	6	6
ENSG00000160131	12	12	12
ENSG00000160145	43	43	43
ENSG00000160161	0	0	0
ENSG00000160172	0	0	0
ENSG00000160179	6	6	6
ENSG00000160180	0	0	0
ENSG00000160181	0	0	0
ENSG00000160182	0	0	0
ENSG00000160183	0	0	0
ENSG00000160185	0	0	0
ENSG00000160188	0	0	0
ENSG00000160190	19	19	19
ENSG00000160191	6	6	6
ENSG00000160193	3	3	3
ENSG00000160194	12	12	12
ENSG00000160199	16	16	16
ENSG00000160200	8	8	8
ENSG00000160201	11	11	11
ENSG00000160202	0	0	0
ENSG00000160207	1	1	1
ENSG00000160208	22	22	22
ENSG00000160209	20	20	20
ENSG00000160211	5	5	5
ENSG00000160213	12	12	12
ENSG00000160214	2	2	2
ENSG00000160216	17	17	17
ENSG00000160218	15.606	15.604	15.606
ENSG00000160219	0	0	0
ENSG00000160221	2	2	2
ENSG00000160223	0	0	0
ENSG00000160224	0	0	0
ENSG00000160226	7	7	7
ENSG00000160229	0	0	0
ENSG00000160233	11	11	11
ENSG00000160255	0	0	0
ENSG00000160256	0	0	0
ENSG00000160271	50.001	49.999	50
ENSG00000160282	0	0	0
ENSG00000160285	24	24	24
ENSG00000160293	25	25	25
ENSG00000160294	23	23	23
ENSG00000160298	3	3	3
ENSG00000160299	10	10	10
ENSG00000160305	18	18	18
ENSG00000160307	0	0	0
ENSG00000160310	37	36.999	37.001
ENSG00000160318	0	0	0
ENSG00000160321	0	0	0
ENSG00000160323	8	8	8
ENSG00000160325	32	32	32
ENSG00000160326	7	7	7
ENSG00000160336	2	2	2
ENSG00000160339	0	0	0
ENSG00000160345	1	1	1
ENSG00000160349	0	0	0
ENSG00000160352	9	9	9
ENSG00000160360	45	45	45
ENSG00000160392	1	1	1
ENSG00000160396	0	0	0
ENSG00000160401	0	0	0
ENSG00000160404	5	5	5
ENSG00000160408	5	5	5
ENSG00000160410	2	2	2
ENSG00000160445	26	26	26
ENSG00000160446	0	0	0
ENSG00000160447	0	0	0
ENSG00000160460	7	7	7
ENSG00000160469	58.055	58.055	58.055
ENSG00000160471	0	0	0
ENSG00000160472	0	0	0
ENSG00000160505	0	0	0
ENSG00000160539	1	1	1
ENSG00000160551	48	48	48
ENSG00000160563	9	9	9
ENSG00000160570	7	7	7
ENSG00000160584	22	22	22
ENSG00000160588	1	1	1
ENSG00000160593	0	0	0
ENSG00000160602	0	0	0
ENSG00000160606	0	0	0
ENSG00000160613	18.03	18.03	18.03
ENSG00000160633	26.604	26.605	26.605
ENSG00000160654	0	0	0
ENSG00000160678	0	0	0
ENSG00000160679	33	33	32.999
ENSG00000160683	0	0	0
ENSG00000160685	0	0	0
ENSG00000160688	7	7	7
ENSG00000160691	0	0	0
ENSG00000160695	2	2	2
ENSG00000160703	1	1	1
ENSG00000160710	86	86	86
ENSG00000160712	0	0	0
ENSG00000160714	37	37	37
ENSG00000160716	22	22	22
ENSG00000160741	7.001	7	7
ENSG00000160746	7	7	7
ENSG00000160752	37	37	37
ENSG00000160753	36.999	37.001	37
ENSG00000160766	3	3	3
ENSG00000160767	0	0	0
ENSG00000160781	2	2	2
ENSG00000160783	7	7	7
ENSG00000160785	18	18	18
ENSG00000160789	16	16	16
ENSG00000160791	0	0	0
ENSG00000160796	4	4	4
ENSG00000160799	1	1	1
ENSG00000160801	0	0	0
ENSG00000160803	47	47	47
ENSG00000160808	0	0	0
ENSG00000160813	2	2	2
ENSG00000160818	10.999	10.999	11
ENSG00000160838	0	0	0
ENSG00000160856	0	0	0
ENSG00000160862	0	0	0
ENSG00000160867	2	2	2
ENSG00000160868	0	0	0
ENSG00000160870	0	0	0
ENSG00000160877	13	13	13
ENSG00000160882	0	0	0
ENSG00000160883	0	0	0
ENSG00000160886	0	0	0
ENSG00000160888	3	3	3
ENSG00000160908	2.004	2.004	2.004
ENSG00000160917	6	6	6
ENSG00000160932	9	9	9
ENSG00000160948	16	16	16
ENSG00000160949	6.378	6.378	6.377
ENSG00000160951	0	0	0
ENSG00000160953	20	20.001	20.001
ENSG00000160957	3	3	3
ENSG00000160959	12	12	12.001
ENSG00000160961	8	8	8
ENSG00000160963	15	15	15
ENSG00000160972	16	16	16
ENSG00000160973	0	0	0
ENSG00000160991	26	25.999	25.999
ENSG00000160993	2	2	2
ENSG00000160994	0	0	0
ENSG00000160999	5	5	5
ENSG00000161010	9.786	9.786	9.786
ENSG00000161011	25	25	25
ENSG00000161013	14	14	14
ENSG00000161016	75	74.999	75.001
ENSG00000161021	11	11	11
ENSG00000161031	0	0	0
ENSG00000161036	14	14	14
ENSG00000161040	2	2	2
ENSG00000161048	0	0	0
ENSG00000161055	0	0	0
ENSG00000161057	9	9	9
ENSG00000161082	65	65	65
ENSG00000161091	8	8	8
ENSG00000161103	0	0	0
ENSG00000161132	0	0	0
ENSG00000161133	0	0	0
ENSG00000161149	3	3	3
ENSG00000161179	2	2	2
ENSG00000161180	0	0	0
ENSG00000161202	29	28.999	28.999
ENSG00000161203	91	91	91
ENSG00000161204	13	13	13.001
ENSG00000161217	3.002	3.002	3.002
ENSG00000161243	3	3	3
ENSG00000161249	0	0	0
ENSG00000161265	3	3	3
ENSG00000161267	0	0	0
ENSG00000161270	0	0	0
ENSG00000161277	2	2	2
ENSG00000161281	0	0	0
ENSG00000161298	11.877	11.877	11.877
ENSG00000161328	2	1	1
ENSG00000161381	7	7	7
ENSG00000161395	6	6	6
ENSG00000161405	0.911	0.866	0.892
ENSG00000161509	0	0	0
ENSG00000161513	1	1	1
ENSG00000161526	14	14	14
ENSG00000161533	8.005	8.005	8.005
ENSG00000161542	5	5	5
ENSG00000161544	4	4	4
ENSG00000161547	24	24	24
ENSG00000161551	0	0	0
ENSG00000161558	2	2	2
ENSG00000161594	0	0	0
ENSG00000161609	0	0	0
ENSG00000161610	0	0	0
ENSG00000161618	5	5	5
ENSG00000161634	0	0	0
ENSG00000161638	0	0	0
ENSG00000161640	0	0	0
ENSG00000161642	0	0	0
ENSG00000161643	0	0	0
ENSG00000161647	9	9	9
ENSG00000161649	0	0	0
ENSG00000161652	0	0	0
ENSG00000161653	0	0	0
ENSG00000161654	12.994	12.994	12.994
ENSG00000161664	1	1	1
ENSG00000161671	37.046	37.047	37.047
ENSG00000161677	0	0	0
ENSG00000161681	31	31	31
ENSG00000161682	22	22	22
ENSG00000161692	4.996	4.996	4.996
ENSG00000161714	1	1	1
ENSG00000161791	1	1	1
ENSG00000161798	0	0	0
ENSG00000161800	3	3	3
ENSG00000161807	0	0	0
ENSG00000161813	7	7	7
ENSG00000161835	0	0	0
ENSG00000161847	10	10	10
ENSG00000161849	0	0	0
ENSG00000161850	0	0	0
ENSG00000161860	0	0	0
ENSG00000161888	0	0	0
ENSG00000161896	0	0	0
ENSG00000161904	18.001	18	18.001
ENSG00000161905	0	0	0
ENSG00000161911	0	0	0
ENSG00000161912	0	0	0
ENSG00000161914	0	0	0
ENSG00000161920	1	1	1
ENSG00000161921	0	0	0
ENSG00000161929	0	0	0
ENSG00000161939	0	0	0
ENSG00000161940	0	0	0
ENSG00000161944	0	0	0
ENSG00000161955	0	0	0
ENSG00000161956	19	19	19
ENSG00000161958	3	3	3
ENSG00000161960	89	89	89
ENSG00000161970	58	58	58
ENSG00000161973	0	0	0
ENSG00000161980	0	0	0
ENSG00000161981	4	4	4
ENSG00000161992	0	0	0
ENSG00000161996	7	7	7
ENSG00000161999	7	7	7
ENSG00000162004	1	1	1
ENSG00000162006	0	0	0
ENSG00000162009	0	0	0
ENSG00000162032	16	16	16
ENSG00000162039	0	0	0
ENSG00000162040	0	0	0
ENSG00000162062	2	2	2
ENSG00000162063	5	5	5
ENSG00000162065	4.955	4.955	4.955
ENSG00000162066	5	5	5
ENSG00000162068	0	0	0
ENSG00000162069	0	0	0
ENSG00000162073	7	7	7
ENSG00000162076	8	8	8
ENSG00000162078	0	0	0
ENSG00000162086	4	4	4
ENSG00000162104	12	12	12
ENSG00000162105	31	31	31
ENSG00000162129	8	8	8
ENSG00000162139	1	1	1
ENSG00000162144	5.178	5.178	5.178
ENSG00000162148	2	2	2
ENSG00000162174	22	22	22
ENSG00000162188	56	56	56
ENSG00000162191	11	11	11
ENSG00000162194	0	0	0
ENSG00000162222	5	5	5
ENSG00000162227	5	5	5
ENSG00000162231	16	16	16
ENSG00000162236	7	7	7
ENSG00000162241	0	0	0
ENSG00000162244	45	45	45
ENSG00000162267	0	0	0
ENSG00000162298	11	11	11
ENSG00000162300	5	5	5
ENSG00000162302	7	7	7
ENSG00000162337	0	0	0
ENSG00000162341	5	5	5
ENSG00000162344	48	48	48
ENSG00000162365	0	0	0
ENSG00000162366	0	0	0
ENSG00000162367	0	0	0
ENSG00000162368	17	17	17
ENSG00000162373	4	4	4
ENSG00000162374	24	24	24
ENSG00000162377	10	10	10
ENSG00000162378	30	30	30
ENSG00000162383	0	0	0
ENSG00000162384	7	7	7
ENSG00000162385	3	3	3
ENSG00000162390	1.012	1.012	1.012
ENSG00000162391	0	0	0
ENSG00000162396	0	0	0
ENSG00000162398	0	0	0
ENSG00000162399	0	0	0
ENSG00000162402	36	36	36
ENSG00000162407	2	2	2
ENSG00000162408	7	7	7
ENSG00000162409	2	2	2
ENSG00000162413	0	0	0
ENSG00000162415	23	23	23
ENSG00000162419	2	2	2
ENSG00000162426	5	5	5
ENSG00000162430	36	36	36
ENSG00000162433	1	1	1
ENSG00000162434	33	33	33
ENSG00000162437	2	2	2
ENSG00000162438	1	1	1
ENSG00000162441	4	4	4
ENSG00000162444	0	0	0
ENSG00000162456	0	0	0
ENSG00000162458	9.025	9.025	9.025
ENSG00000162460	0	0	0
ENSG00000162461	1	1	1
ENSG00000162482	1	1	1
ENSG00000162490	35	35	35
ENSG00000162493	0	0	0
ENSG00000162494	0	0	0
ENSG00000162496	0	0	0
ENSG00000162510	0	0	0
ENSG00000162511	0	0	0
ENSG00000162512	232.001	232	232
ENSG00000162517	8	8	8
ENSG00000162520	0	0	0
ENSG00000162521	57	57	57.001
ENSG00000162522	18	18	18
ENSG00000162526	0	0	0
ENSG00000162542	0	0	0
ENSG00000162543	2	2	2
ENSG00000162545	27	27	27
ENSG00000162551	2	2	2
ENSG00000162552	7	7	7
ENSG00000162571	0	0	0
ENSG00000162572	5	5	5
ENSG00000162576	1	1	1
ENSG00000162585	14	14	14
ENSG00000162591	4	4	4
ENSG00000162592	0	0	0
ENSG00000162594	0	0	0
ENSG00000162595	0	0	0
ENSG00000162598	0	0	0
ENSG00000162599	0	0	0
ENSG00000162600	0	0	0
ENSG00000162601	15	15	15
ENSG00000162604	3	3	3
ENSG00000162607	8	8	8
ENSG00000162613	29	29	29
ENSG00000162614	0	0	0
ENSG00000162616	3	3	3
ENSG00000162618	0	0	0
ENSG00000162620	0	0	0
ENSG00000162621	0	0	0
ENSG00000162623	1	1	1
ENSG00000162624	0	0	0
ENSG00000162627	1	1	1
ENSG00000162630	4	4	4
ENSG00000162631	1	1	1
ENSG00000162636	3	3	3
ENSG00000162639	0	0	0
ENSG00000162641	0	0	0
ENSG00000162642	3	3	3
ENSG00000162643	0	0	0
ENSG00000162645	0	0	0
ENSG00000162650	9	9	9
ENSG00000162654	0	0	0
ENSG00000162664	16	16	16
ENSG00000162669	3	3	3
ENSG00000162670	6	6	6
ENSG00000162676	0	0	0
ENSG00000162685	0	0	0
ENSG00000162687	3	3	3
ENSG00000162688	7	7	7
ENSG00000162692	0	0	0
ENSG00000162694	4	4	4
ENSG00000162695	3	3	3
ENSG00000162699	0	0	0
ENSG00000162702	14	14	14
ENSG00000162704	47.012	47.012	47.014
ENSG00000162706	69	69	69
ENSG00000162711	0	0	0
ENSG00000162714	23	23	23
ENSG00000162722	0	0	0
ENSG00000162723	0	0	0
ENSG00000162727	0	0	0
ENSG00000162728	10	10	10
ENSG00000162729	13	13	13
ENSG00000162733	1	1	1
ENSG00000162734	35	35	35
ENSG00000162735	9	9	9
ENSG00000162736	12	12	12
ENSG00000162738	112	112	112
ENSG00000162739	0	0	0
ENSG00000162745	0	0	0
ENSG00000162746	2	2	2
ENSG00000162747	0	0	0
ENSG00000162753	0	0	0
ENSG00000162755	5	5	5
ENSG00000162757	2	2	2
ENSG00000162761	0	0	0
ENSG00000162763	0	0	0
ENSG00000162769	8	8	8
ENSG00000162771	0	0	0
ENSG00000162772	8	8	8
ENSG00000162775	1	1	1
ENSG00000162777	0	0	0
ENSG00000162779	0	0	0
ENSG00000162782	0	0	0
ENSG00000162783	9	9	9
ENSG00000162804	0	0	0
ENSG00000162813	5	5	5
ENSG00000162814	0	0	0
ENSG00000162817	0	0	0
ENSG00000162819	8	8	8
ENSG00000162825	26.303	26.293	26.259
ENSG00000162836	0	0	0
ENSG00000162840	0	0	0
ENSG00000162843	0	0	0
ENSG00000162849	1.835	1.835	1.835
ENSG00000162851	4	4	4
ENSG00000162852	12	12	12
ENSG00000162869	12	12	12
ENSG00000162873	4	4	4
ENSG00000162877	0	0	0
ENSG00000162878	4	4	4
ENSG00000162881	0	0	0
ENSG00000162882	0	0	0
ENSG00000162885	1	1	1
ENSG00000162889	23	23	23
ENSG00000162891	0	0	0
ENSG00000162892	0	0	0
ENSG00000162894	0	0	0
ENSG00000162896	1	1	1
ENSG00000162897	0	0	0
ENSG00000162909	29	29	29
ENSG00000162910	3	3	3
ENSG00000162913	0	0	0
ENSG00000162923	59	59	59
ENSG00000162924	21.395	21.371	21.367
ENSG00000162927	0	0	0
ENSG00000162928	8	8	8
ENSG00000162929	10	10	10
ENSG00000162931	0	0	0
ENSG00000162944	0	0	0
ENSG00000162946	0	0	0
ENSG00000162949	1	1	1
ENSG00000162951	1	1	1
ENSG00000162959	8.001	8.001	8.001
ENSG00000162961	7	7	7
